Level,Description,SeriesRefSNDQ,Quarter,Weight,Amount
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1992Q3,0.0398764,1202.455
Industry groups,Education and training,SG01RSC04B01PP1,1992Q3,0.0412847,1613.883
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1992Q3,0.0444452,1440.379
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1992Q3,0.0108890,332.533
Industry groups,Other services,SG01RSC04B01RS2,1992Q3,0.0172186,440.480
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1992Q3,0.0707207,1841.421
Industry groups,Agriculture,SG01RSC04B01AA1,1992Q4,0.0477843,1380.880
Industry groups,Forestry and logging,SG01RSC04B01AA2,1992Q4,0.0107649,201.798
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1992Q4,0.0086178,286.252
Industry groups,Mining,SG01RSC04B01BB1,1992Q4,0.0152170,544.824
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1992Q4,0.0573350,1079.779
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1992Q4,0.0108445,255.468
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1992Q4,0.0186234,393.067
Industry groups,Printing,SG01RSC04B01CC4,1992Q4,0.0067534,195.579
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1992Q4,0.0347514,812.697
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1992Q4,0.0053183,156.702
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1992Q4,0.0197623,505.098
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1992Q4,0.0210493,714.893
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1992Q4,0.0046881,166.638
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1992Q4,0.0304391,1181.674
Industry groups,Construction,SG01RSC04B01EE1,1992Q4,0.0348169,1135.354
Industry groups,Wholesale trade,SG01RSC04B01FF1,1992Q4,0.0498079,1516.882
Industry groups,Retail trade,SG01RSC04B01GH1,1992Q4,0.0472567,1147.209
Industry groups,Accommodation services,SG01RSC04B01GH2,1992Q4,0.0155128,636.986
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1992Q4,0.0521696,1129.666
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1992Q4,0.0417875,523.050
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1992Q4,0.0489984,1436.139
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1992Q4,0.0500051,1789.282
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1992Q4,0.0787302,1936.308
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1992Q4,0.0459613,1856.335
Industry groups,Administrative and support services,SG01RSC04B01MN2,1992Q4,0.0129777,522.845
Industry groups,Local Government administration,SG01RSC04B01OO1,1992Q4,0.0055929,162.162
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1992Q4,0.0398764,1202.692
Industry groups,Education and training,SG01RSC04B01PP1,1992Q4,0.0412847,1628.053
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1992Q4,0.0444452,1443.817
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1992Q4,0.0108890,336.587
Industry groups,Other services,SG01RSC04B01RS2,1992Q4,0.0172186,455.371
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1992Q4,0.0707207,1868.798
Industry groups,Agriculture,SG01RSC04B01AA1,1993Q1,0.0477843,1443.102
Industry groups,Forestry and logging,SG01RSC04B01AA2,1993Q1,0.0107649,205.250
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1993Q1,0.0086178,289.896
Industry groups,Mining,SG01RSC04B01BB1,1993Q1,0.0152170,607.204
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1993Q1,0.0573350,1148.025
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1993Q1,0.0108445,270.096
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1993Q1,0.0186234,379.814
Industry groups,Printing,SG01RSC04B01CC4,1993Q1,0.0067534,187.110
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1993Q1,0.0347514,833.962
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1993Q1,0.0053183,159.253
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1993Q1,0.0197623,519.493
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1993Q1,0.0210493,715.264
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1993Q1,0.0046881,175.105
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1993Q1,0.0304391,1198.045
Industry groups,Construction,SG01RSC04B01EE1,1993Q1,0.0348169,1154.633
Industry groups,Wholesale trade,SG01RSC04B01FF1,1993Q1,0.0498079,1518.302
Industry groups,Retail trade,SG01RSC04B01GH1,1993Q1,0.0472567,1158.073
Industry groups,Accommodation services,SG01RSC04B01GH2,1993Q1,0.0155128,629.069
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1993Q1,0.0521696,1159.311
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1993Q1,0.0417875,529.418
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1993Q1,0.0489984,1447.117
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1993Q1,0.0500051,1812.558
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1993Q1,0.0787302,1952.543
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1993Q1,0.0459613,1890.191
Industry groups,Administrative and support services,SG01RSC04B01MN2,1993Q1,0.0129777,537.792
Industry groups,Local Government administration,SG01RSC04B01OO1,1993Q1,0.0055929,161.172
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1993Q1,0.0398764,1197.144
Industry groups,Education and training,SG01RSC04B01PP1,1993Q1,0.0412847,1643.999
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1993Q1,0.0444452,1460.450
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1993Q1,0.0108890,363.477
Industry groups,Other services,SG01RSC04B01RS2,1993Q1,0.0172186,486.995
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1993Q1,0.0707207,1870.799
Industry groups,Agriculture,SG01RSC04B01AA1,1993Q2,0.0507368,1595.532
Industry groups,Forestry and logging,SG01RSC04B01AA2,1993Q2,0.0134082,209.934
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1993Q2,0.0091133,290.162
Industry groups,Mining,SG01RSC04B01BB1,1993Q2,0.0137555,626.491
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1993Q2,0.0553027,1145.641
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1993Q2,0.0107858,276.824
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1993Q2,0.0180469,395.717
Industry groups,Printing,SG01RSC04B01CC4,1993Q2,0.0068038,193.777
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1993Q2,0.0364135,847.471
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1993Q2,0.0058345,155.702
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1993Q2,0.0200692,553.070
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1993Q2,0.0214171,751.210
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1993Q2,0.0047012,172.267
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1993Q2,0.0305941,1183.896
Industry groups,Construction,SG01RSC04B01EE1,1993Q2,0.0359270,1202.031
Industry groups,Wholesale trade,SG01RSC04B01FF1,1993Q2,0.0550565,1578.559
Industry groups,Retail trade,SG01RSC04B01GH1,1993Q2,0.0467911,1178.713
Industry groups,Accommodation services,SG01RSC04B01GH2,1993Q2,0.0164506,631.530
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1993Q2,0.0518636,1185.924
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1993Q2,0.0397334,533.609
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1993Q2,0.0450688,1477.453
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1993Q2,0.0493695,1830.891
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1993Q2,0.0740884,1973.274
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1993Q2,0.0494887,1908.325
Industry groups,Administrative and support services,SG01RSC04B01MN2,1993Q2,0.0139094,537.732
Industry groups,Local Government administration,SG01RSC04B01OO1,1993Q2,0.0052641,166.364
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1993Q2,0.0384731,1215.341
Industry groups,Education and training,SG01RSC04B01PP1,1993Q2,0.0399740,1663.759
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1993Q2,0.0434436,1473.173
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1993Q2,0.0106225,352.447
Industry groups,Other services,SG01RSC04B01RS2,1993Q2,0.0169469,489.446
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1993Q2,0.0705460,1914.346
Industry groups,Agriculture,SG01RSC04B01AA1,1993Q3,0.0507368,1748.651
Industry groups,Forestry and logging,SG01RSC04B01AA2,1993Q3,0.0134082,195.236
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1993Q3,0.0091133,283.692
Industry groups,Mining,SG01RSC04B01BB1,1993Q3,0.0137555,616.416
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1993Q3,0.0553027,1178.166
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1993Q3,0.0107858,282.191
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1993Q3,0.0180469,411.419
Industry groups,Printing,SG01RSC04B01CC4,1993Q3,0.0068038,193.185
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1993Q3,0.0364135,870.558
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1993Q3,0.0058345,164.386
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1993Q3,0.0200692,557.914
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1993Q3,0.0214171,751.811
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1993Q3,0.0047012,174.330
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1993Q3,0.0305941,1248.695
Industry groups,Construction,SG01RSC04B01EE1,1993Q3,0.0359270,1277.621
Industry groups,Wholesale trade,SG01RSC04B01FF1,1993Q3,0.0550565,1603.909
Industry groups,Retail trade,SG01RSC04B01GH1,1993Q3,0.0467911,1198.860
Industry groups,Accommodation services,SG01RSC04B01GH2,1993Q3,0.0164506,644.037
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1993Q3,0.0518636,1183.948
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1993Q3,0.0397334,545.512
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1993Q3,0.0450688,1497.805
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1993Q3,0.0493695,1854.554
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1993Q3,0.0740884,1987.647
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1993Q3,0.0494887,1930.106
Industry groups,Administrative and support services,SG01RSC04B01MN2,1993Q3,0.0139094,546.802
Industry groups,Local Government administration,SG01RSC04B01OO1,1993Q3,0.0052641,171.757
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1993Q3,0.0384731,1197.948
Industry groups,Education and training,SG01RSC04B01PP1,1993Q3,0.0399740,1681.022
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1993Q3,0.0434436,1463.695
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1993Q3,0.0106225,365.130
Industry groups,Other services,SG01RSC04B01RS2,1993Q3,0.0169469,504.905
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1993Q3,0.0705460,1950.093
Industry groups,Agriculture,SG01RSC04B01AA1,1993Q4,0.0507368,1785.086
Industry groups,Forestry and logging,SG01RSC04B01AA2,1993Q4,0.0134082,194.658
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1993Q4,0.0091133,286.622
Industry groups,Mining,SG01RSC04B01BB1,1993Q4,0.0137555,676.092
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1993Q4,0.0553027,1156.070
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1993Q4,0.0107858,273.228
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1993Q4,0.0180469,418.666
Industry groups,Printing,SG01RSC04B01CC4,1993Q4,0.0068038,193.058
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1993Q4,0.0364135,883.372
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1993Q4,0.0058345,158.175
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1993Q4,0.0200692,557.118
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1993Q4,0.0214171,743.811
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1993Q4,0.0047012,172.058
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1993Q4,0.0305941,1161.571
Industry groups,Construction,SG01RSC04B01EE1,1993Q4,0.0359270,1248.567
Industry groups,Wholesale trade,SG01RSC04B01FF1,1993Q4,0.0550565,1596.350
Industry groups,Retail trade,SG01RSC04B01GH1,1993Q4,0.0467911,1213.104
Industry groups,Accommodation services,SG01RSC04B01GH2,1993Q4,0.0164506,658.902
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1993Q4,0.0518636,1194.963
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1993Q4,0.0397334,551.244
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1993Q4,0.0450688,1500.096
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1993Q4,0.0493695,1882.972
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1993Q4,0.0740884,1993.379
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1993Q4,0.0494887,2003.566
Industry groups,Administrative and support services,SG01RSC04B01MN2,1993Q4,0.0139094,571.346
Industry groups,Local Government administration,SG01RSC04B01OO1,1993Q4,0.0052641,168.746
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1993Q4,0.0384731,1210.994
Industry groups,Education and training,SG01RSC04B01PP1,1993Q4,0.0399740,1699.285
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1993Q4,0.0434436,1477.485
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1993Q4,0.0106225,361.255
Industry groups,Other services,SG01RSC04B01RS2,1993Q4,0.0169469,523.491
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1993Q4,0.0705460,1991.979
Industry groups,Agriculture,SG01RSC04B01AA1,1994Q1,0.0507368,1794.294
Industry groups,Forestry and logging,SG01RSC04B01AA2,1994Q1,0.0134082,211.232
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1994Q1,0.0091133,289.360
Industry groups,Mining,SG01RSC04B01BB1,1994Q1,0.0137555,637.466
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1994Q1,0.0553027,1163.271
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1994Q1,0.0107858,284.164
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1994Q1,0.0180469,421.038
Industry groups,Printing,SG01RSC04B01CC4,1994Q1,0.0068038,207.648
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1994Q1,0.0364135,896.987
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1994Q1,0.0058345,158.016
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1994Q1,0.0200692,575.033
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1994Q1,0.0214171,763.336
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1994Q1,0.0047012,180.650
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1994Q1,0.0305941,1224.265
Industry groups,Construction,SG01RSC04B01EE1,1994Q1,0.0359270,1196.584
Industry groups,Wholesale trade,SG01RSC04B01FF1,1994Q1,0.0550565,1703.868
Industry groups,Retail trade,SG01RSC04B01GH1,1994Q1,0.0467911,1241.804
Industry groups,Accommodation services,SG01RSC04B01GH2,1994Q1,0.0164506,668.398
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1994Q1,0.0518636,1257.232
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1994Q1,0.0397334,578.864
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1994Q1,0.0450688,1516.145
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1994Q1,0.0493695,1929.598
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1994Q1,0.0740884,1989.099
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1994Q1,0.0494887,2032.329
Industry groups,Administrative and support services,SG01RSC04B01MN2,1994Q1,0.0139094,593.054
Industry groups,Local Government administration,SG01RSC04B01OO1,1994Q1,0.0052641,169.713
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1994Q1,0.0384731,1212.820
Industry groups,Education and training,SG01RSC04B01PP1,1994Q1,0.0399740,1716.234
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1994Q1,0.0434436,1486.813
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1994Q1,0.0106225,406.276
Industry groups,Other services,SG01RSC04B01RS2,1994Q1,0.0169469,547.570
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1994Q1,0.0705460,2020.984
Industry groups,Agriculture,SG01RSC04B01AA1,1994Q2,0.0459274,1654.881
Industry groups,Forestry and logging,SG01RSC04B01AA2,1994Q2,0.0106098,209.561
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1994Q2,0.0085406,286.612
Industry groups,Mining,SG01RSC04B01BB1,1994Q2,0.0121190,608.282
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1994Q2,0.0548977,1181.596
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1994Q2,0.0105634,292.198
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1994Q2,0.0200734,417.213
Industry groups,Printing,SG01RSC04B01CC4,1994Q2,0.0069426,201.133
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1994Q2,0.0392051,925.663
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1994Q2,0.0063766,169.838
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1994Q2,0.0193214,570.896
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1994Q2,0.0219723,779.489
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1994Q2,0.0051934,186.115
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1994Q2,0.0295518,1180.765
Industry groups,Construction,SG01RSC04B01EE1,1994Q2,0.0391560,1313.004
Industry groups,Wholesale trade,SG01RSC04B01FF1,1994Q2,0.0552540,1684.290
Industry groups,Retail trade,SG01RSC04B01GH1,1994Q2,0.0471322,1275.754
Industry groups,Accommodation services,SG01RSC04B01GH2,1994Q2,0.0178629,686.681
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1994Q2,0.0532403,1316.569
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1994Q2,0.0398255,594.541
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1994Q2,0.0450668,1512.545
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1994Q2,0.0507076,1895.385
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1994Q2,0.0717930,1978.120
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1994Q2,0.0515903,1980.996
Industry groups,Administrative and support services,SG01RSC04B01MN2,1994Q2,0.0143817,581.194
Industry groups,Local Government administration,SG01RSC04B01OO1,1994Q2,0.0048869,162.336
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1994Q2,0.0350076,1206.345
Industry groups,Education and training,SG01RSC04B01PP1,1994Q2,0.0387527,1734.017
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1994Q2,0.0423560,1481.375
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1994Q2,0.0107983,411.473
Industry groups,Other services,SG01RSC04B01RS2,1994Q2,0.0170456,526.101
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1994Q2,0.0738481,2083.499
Industry groups,Agriculture,SG01RSC04B01AA1,1994Q3,0.0459274,1758.113
Industry groups,Forestry and logging,SG01RSC04B01AA2,1994Q3,0.0106098,215.881
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1994Q3,0.0085406,285.222
Industry groups,Mining,SG01RSC04B01BB1,1994Q3,0.0121190,562.877
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1994Q3,0.0548977,1210.727
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1994Q3,0.0105634,281.435
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1994Q3,0.0200734,430.071
Industry groups,Printing,SG01RSC04B01CC4,1994Q3,0.0069426,208.763
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1994Q3,0.0392051,946.635
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1994Q3,0.0063766,175.058
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1994Q3,0.0193214,603.394
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1994Q3,0.0219723,840.522
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1994Q3,0.0051934,188.885
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1994Q3,0.0295518,1317.384
Industry groups,Construction,SG01RSC04B01EE1,1994Q3,0.0391560,1367.717
Industry groups,Wholesale trade,SG01RSC04B01FF1,1994Q3,0.0552540,1701.719
Industry groups,Retail trade,SG01RSC04B01GH1,1994Q3,0.0471322,1305.214
Industry groups,Accommodation services,SG01RSC04B01GH2,1994Q3,0.0178629,704.001
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1994Q3,0.0532403,1281.846
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1994Q3,0.0398255,603.502
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1994Q3,0.0450668,1528.079
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1994Q3,0.0507076,1900.569
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1994Q3,0.0717930,1986.502
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1994Q3,0.0515903,1952.063
Industry groups,Administrative and support services,SG01RSC04B01MN2,1994Q3,0.0143817,574.008
Industry groups,Local Government administration,SG01RSC04B01OO1,1994Q3,0.0048869,159.770
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1994Q3,0.0350076,1222.917
Industry groups,Education and training,SG01RSC04B01PP1,1994Q3,0.0387527,1745.024
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1994Q3,0.0423560,1501.772
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1994Q3,0.0107983,410.733
Industry groups,Other services,SG01RSC04B01RS2,1994Q3,0.0170456,536.496
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1994Q3,0.0738481,2129.551
Industry groups,Agriculture,SG01RSC04B01AA1,1994Q4,0.0459274,1753.878
Industry groups,Forestry and logging,SG01RSC04B01AA2,1994Q4,0.0106098,212.706
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1994Q4,0.0085406,293.570
Industry groups,Mining,SG01RSC04B01BB1,1994Q4,0.0121190,566.510
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1994Q4,0.0548977,1223.064
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1994Q4,0.0105634,295.499
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1994Q4,0.0200734,444.509
Industry groups,Printing,SG01RSC04B01CC4,1994Q4,0.0069426,225.019
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1994Q4,0.0392051,959.445
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1994Q4,0.0063766,175.975
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1994Q4,0.0193214,613.798
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1994Q4,0.0219723,832.747
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1994Q4,0.0051934,187.906
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1994Q4,0.0295518,1267.191
Industry groups,Construction,SG01RSC04B01EE1,1994Q4,0.0391560,1384.841
Industry groups,Wholesale trade,SG01RSC04B01FF1,1994Q4,0.0552540,1739.969
Industry groups,Retail trade,SG01RSC04B01GH1,1994Q4,0.0471322,1313.015
Industry groups,Accommodation services,SG01RSC04B01GH2,1994Q4,0.0178629,722.708
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1994Q4,0.0532403,1342.170
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1994Q4,0.0398255,627.086
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1994Q4,0.0450668,1572.564
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1994Q4,0.0507076,1899.702
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1994Q4,0.0717930,2022.720
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1994Q4,0.0515903,1985.019
Industry groups,Administrative and support services,SG01RSC04B01MN2,1994Q4,0.0143817,595.024
Industry groups,Local Government administration,SG01RSC04B01OO1,1994Q4,0.0048869,160.452
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1994Q4,0.0350076,1195.077
Industry groups,Education and training,SG01RSC04B01PP1,1994Q4,0.0387527,1752.538
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1994Q4,0.0423560,1516.077
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1994Q4,0.0107983,425.159
Industry groups,Other services,SG01RSC04B01RS2,1994Q4,0.0170456,542.094
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1994Q4,0.0738481,2160.482
Industry groups,Agriculture,SG01RSC04B01AA1,1995Q1,0.0459274,1723.454
